Asset/Liability,Cur,2021,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2022,Expenses,AVG,Cast
VBA - 5% Stocks,,,,,,,,,,,,,,,,,,
2A - Mr - Viac Global Plus,F,0,0,"226,031","226,659","226,362","226,027",0,0,0,0,0,0,0,0,,,
Expected Taxes,F,0,0,"-14,692","-14,733","-14,714","-14,692",0,0,0,0,0,0,0,0,,,
Bonds,,,,,,,,,,,,,,,,,,
2A - Mr - Extra Mand,F,"302,953","321,140",0,0,0,0,0,0,0,0,0,"1,938","3,876","3,876",,,
2A - Mr - Mand,F,"54,559","54,806",873,"1,309","2,071","2,833","3,594","4,356","5,118","5,880","6,642","7,403","8,165","8,165",,,
Exp Taxes on 2A,F,"-23,238","-24,436",-57,-85,-135,-184,-234,-283,-333,-382,-432,-607,-783,-783,,,
Deposits,F,"5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002","5,002",,,
Buoni Postali ITA,E,"15,786","15,914","15,914","16,042","16,042","16,170","16,170","16,298","16,298","16,426","16,426","16,554","16,554","16,554",,,
BSV,D,"80,820","80,000","79,500","77,900","77,030","77,540","76,790","77,470","76,290","74,820","74,560","75,500","75,280","75,280",,,
VEMT,E,"52,358","51,030","48,680","48,387","48,128","47,094","45,708","48,304","47,975","46,413","45,390","46,248","44,721","44,721",,,
GHYC,F,"52,394","50,843","50,274","50,107","47,333","47,543","44,249","47,240","45,330","44,119","44,354","45,052","44,786","44,786",,,
AGGS,F,"52,400","51,600","50,700","49,700","48,300","48,100","47,300","48,300","47,000","45,300","45,000","45,600","45,250","45,250",,,
Crypto,,,,,,,,,,,,,,,,,,
PolkaDot Staking,D,"17,124","15,191","14,249","17,375","13,092","10,551","9,408","12,790","10,094","9,041","9,526","7,804","6,262","6,262",,,
BTC,D,0,0,0,0,0,0,0,0,0,0,0,56,54,54,,,
Private Equity,,,,,,,,,,,,,,,,,,
Roam,D,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",,,
NFT Chain,F,0,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,
Business,,,,,,,,,,,,,,,,,,
RIP UBS - CHF,F,"20,000","20,000","18,439","25,386","27,912","36,450","54,520","58,898","52,927","63,613","63,135","65,468","36,996","36,996",,,
RIP PayPal - CHF,F,0,0,"3,892",0,"2,326","1,618","1,618","4,766","6,768",0,763,726,656,656,,,
RIP Credits,F,0,0,0,"3,030","2,250","2,713",0,0,"3,275","2,188","2,713",500,"19,572","19,572",,,
RIP VAT debts,F,0,-400,"-1,100","-1,800","-2,669","-4,069","-3,074","-3,900","-1,416","-2,616","-3,916","-4,916","-4,731","-4,731",,,
RIP AHV debts,F,0,-700,"-1,400","-2,100",-975,"-1,950",-821,"-2,121","-3,746","-3,592","-6,312","-8,262","-10,520","-10,520",,,
RIP BVG debts,F,0,-500,"-1,000","-1,500","-2,348","-1,694","-2,542","-3,391","-1,694","-2,542",-845,"-3,738",0,0,,,
RIP UVG debts,F,0,-52,-104,-157,569,491,413,308,178,21,-135,-292,-605,-605,,,
RIP Familienzulage credits,F,0,600,"1,200","1,800",600,"1,200",0,600,"1,200",0,600,"1,200",0,0,,,
RIP PayPal - EUR,E,0,0,9,"3,179","3,179","3,172","3,172","3,177","3,186","3,135","3,128","3,015","3,019","3,019",,,
RIP Wise - EUR,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
RIP Wise - USD,D,0,0,0,"2,418","4,408","7,092",0,0,0,0,0,0,0,0,,,
Expected Corporate Tax,F,0,0,0,"-2,002","-3,006","-4,904","-6,575","-7,554","-8,023","-7,921","-7,722","-6,646","-1,019","-1,019",,,
Expected Dividend Tax,F,0,0,0,-825,"-1,225","-2,012","-2,671","-3,078","-3,266","-3,229","-3,141","-2,705","-2,337","-2,337",,,
Cash - Liquidity,,,,,,,,,,,,,,,,,,
BancoPosta Click,E,"2,724","2,645","2,644","2,643","2,642","2,634","2,541","4,401","1,884","1,881","1,150","3,726","3,006","3,006",,,
PostFinance - EUR,E,"1,393",256,"1,587","2,445","2,508",54,"5,105","5,220","5,264","5,308","5,342","5,342","5,399","5,399",,,
InteractiveBrokers - EUR,E,0,0,0,0,0,0,0,"11,012","6,512",0,0,"1,084","1,084","1,084",,,
Revolut - EUR,E,258,258,258,258,258,1,1,1,1,0,0,0,0,0,,,
PayPal - EUR,E,"4,914","4,885","4,836","1,608","1,608","1,545","1,545","1,545","1,536","1,536","1,462","1,393","1,279","1,279",,,
Stripe - EUR,E,0,388,824,0,0,19,19,0,0,0,0,0,0,0,,,
Kraken EUR,E,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,
Cash Bills - EUR,E,445,445,445,445,445,445,445,445,235,55,205,165,320,320,,,
PostFinance - CHF,F,"54,382","38,218","39,887","38,011","40,420","39,396","42,242","37,126","37,391","43,381","52,530","57,844","68,689","68,689",,,
InteractiveBrokers - CHF,F,"6,611","7,609","8,608","9,608","6,544","7,543",542,"1,536","2,535","3,531","5,500","2,499","3,499","3,499",,,
Revolut - CHF,F,932,932,932,0,0,0,0,0,0,388,164,396,366,366,,,
YuH - CHF,F,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,
PayPal - CHF,F,0,"4,280",0,0,0,5,0,0,0,0,0,0,0,0,,,
Stripe - CHF,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kraken CHF,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cash Bills - CHF,F,600,350,410,410,100,40,40,150,150,100,90,115,100,100,,,
PostFinance - USD,D,201,654,984,"1,413","1,725","1,949","2,369",31,"2,236","2,236","3,444","4,003","9,139","9,139",,,
PayPal - USD,D,37,17,17,17,17,17,17,17,17,17,17,17,0,0,,,
InteractiveBrokers - USD,D,"50,701","48,816","50,829","49,559","51,994","49,064","75,247","125,364","77,167","3,350","3,671","4,121","7,464","7,464",,,
Taxes,,,,,,,,,,,,,,,,,,
Exp Tax 2020,F,"15,220",0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Exp Tax 2021,F,"-26,268","-10,866","-10,866","-3,625","-3,625","-3,625","-3,625","-3,625","9,101","12,233","8,824","8,824","5,692","5,692",,,
US With. Tax Credit 2021,D,"3,318","3,318","3,318","2,818","2,818","2,818","2,818","2,818","2,664","2,664","2,664","2,664","2,673","2,673",,,
Exp Income Tax 2022,F,0,-775,"-1,538","-2,619","-3,715","-4,710","-6,064","-7,202","-8,537","-10,673","-12,390","-13,992","-18,388","-18,388",,,
Exp Pillar 1 GaU 2022,F,0,-334,-622,-944,"-1,207","-1,535","-1,507",-594,-751,-858,-532,-829,-663,-663,,,
Exp Wealth Tax 2022,F,0,-188,-369,-566,-756,-958,"-1,092","-1,301","-1,489","-1,592","-1,881","-2,097","-2,231","-2,231",,,
Tax Paid 2022,F,0,0,0,0,0,0,0,0,0,0,0,0,"15,000","15,000",,,
US With. Tax Credit 2022,D,0,0,11,465,543,554,"1,539","1,619","1,633","2,497","2,512","2,529","3,691","3,691",,,
Other,,,,,,,,,,,,,,,,,,
Cembra Cumulus Mastercard,F,"-4,222","-1,561","-1,076","-1,041","-1,732","-1,732","-1,692",0,0,0,0,0,0,0,,,
Cembra Certo Mastercard,F,0,0,0,0,0,0,0,"-1,908","-1,914","-2,446","-3,479","-2,754","-2,408","-2,408",,,
Finpension Referral Credits,F,467,"1,910","2,100","2,325","2,682","2,773","2,812","2,840","2,884","2,913","2,972","3,010","3,195","3,195",,,
Red Credits,F,"3,268","1,364","1,869","1,796","1,525","2,291","1,106",766,259,380,"1,566","1,082","1,404","1,404",,,
Other - CHF,F,"-1,073","1,058","1,058","1,098",70,"1,058","1,058",0,"1,028","1,078","1,098","1,108","-1,242","-1,242",,,
Purple Credits,D,551,410,521,373,283,473,623,361,96,534,559,458,708,708,,,
Other - USD,D,0,0,183,440,0,406,615,"1,062",136,377,0,"2,755",0,0,,,
Amazon Credits,E,168,202,126,138,99,144,184,109,73,44,92,126,70,70,,,
Other - EUR,E,0,0,0,0,0,0,0,"-6,600",250,0,0,0,"1,000","1,000",,,
Extras,,,,,,,,,,,,,,,,,,
Pillar 1 Pension,F,"94,537",105344,105611,105880,106149,106419,106689,106960,107232,107505,107778,108052,108327,"108,327",,,
,,,,,,,,,,,,,,,,,,
NW (EUR),E,"1,645,160","1,647,861","1,648,357","1,699,377","1,684,291","1,688,506","1,656,087","1,757,714","1,738,835","1,662,641","1,725,795","1,771,127","1,707,779","1,707,779",,,1707779
NW Change,,-,"2,701",496,"51,020","-15,085","4,215","-32,419","101,627","-18,880","-76,193","63,153","45,333","-63,349","62,619",,5218,62619
Change %,,-,0.16%,0.03%,3.10%,-0.89%,0.25%,-1.92%,6.14%,-1.07%,-4.38%,3.80%,2.63%,-3.58%,3.81%,,0.31%,3.74%
NW (CHF),F,"1,705,978","1,716,402","1,695,628","1,735,225","1,729,045","1,738,788","1,657,787","1,710,173","1,708,691","1,608,813","1,709,124","1,742,865","1,693,605","1,693,605",,,1693605
NW Change,,-,"10,425","-20,774","39,597","-6,179","9,743","-81,001","52,387","-1,482","-99,878","100,311","33,740","-49,260","-12,373",,-1031,-12373
Change %,,-,0.61%,-1.21%,2.34%,-0.36%,0.56%,-4.66%,3.16%,-0.09%,-5.85%,6.24%,1.97%,-2.83%,-0.73%,,-0.06%,-0.73%
NW (USD),D,"1,871,197","1,851,545","1,848,700","1,881,355","1,775,866","1,812,223","1,736,084","1,796,679","1,747,477","1,629,721","1,705,534","1,845,825","1,831,849","1,831,849",,,1831849
NW Change,,-,"-19,652","-2,845","32,655","-105,489","36,357","-76,139","60,594","-49,202","-117,756","75,813","140,291","-13,976","-39,348",,-3279,-39348
Change %,,-,-1.05%,-0.15%,1.77%,-5.61%,2.05%,-4.20%,3.49%,-2.74%,-6.74%,4.65%,8.23%,-0.76%,-2.10%,,-0.18%,-2.12%
NW (BTC),BTC,40.76,48.17,42.80,41.05,46.78,57.04,91.81,75.47,86.97,84.18,83.47,107.42,110.63,110.63,,,110.63
NW Change,,-,7.41,-5.37,-1.75,5.73,10.27,34.76,-16.34,11.50,-2.79,-0.70,23.95,3.21,69.87,,5.82,69.87
Change %,,-,18.18%,-11.14%,-4.10%,13.96%,21.95%,60.94%,-17.79%,15.24%,-3.21%,-0.84%,28.69%,2.99%,171.44%,,8.68%,104.13%
,,,,,,,,,,,,,,,,,,
Finance,,,,,,,,,,,,,,,,YTD,Last M,
VT,D,107.58,102.51,99.67,101.29,93.09,93.55,85.34,91.30,87.60,78.88,83.91,90.86,86.19,86.19,-19.9%,-5.14%,
VYM,D,112.17,111.52,109.88,112.25,107.53,111.31,101.70,106.38,103.77,94.88,106.48,113.15,108.21,108.21,-3.5%,-4.37%,
VYMI,D,67.18,68.69,67.31,67.62,63.85,65.83,58.82,59.77,57.64,52.04,54.85,61.10,59.57,59.57,-11.3%,-2.50%,
NYSEARCA:ERUS,D,---,---,---,8.06,8.06,8.06,8.06,8.06,0.04,0.04,0.04,0.04,0.04,0.04,---%,0.00%,
NYSEARCA:VTV,D,147.22,145.53,143.85,147.78,140.70,144.09,131.88,138.55,134.84,123.48,137.97,146.24,140.37,140.37,-4.7%,-4.01%,
NYSEARCA:VSS,D,133.97,126.19,123.73,123.89,114.71,115.62,103.21,109.32,104.21,92.81,96.21,107.10,102.81,102.81,-23.3%,-4.01%,
NYSEARCA:VBR,D,179.04,170.96,173.74,175.94,164.79,167.86,149.82,164.54,160.02,143.40,160.61,169.54,158.80,158.80,-11.3%,-6.33%,
NYSE:KO,D,59.23,61.01,62.24,62.00,64.61,63.38,62.91,64.17,61.71,56.02,59.85,63.61,63.61,63.61,7.4%,0.00%,
NYSE:SONY,D,126.33,111.66,102.53,102.71,86.05,94.07,81.77,85.39,79.35,64.05,67.47,83.07,76.28,76.28,-39.6%,-8.17%,
NASDAQ:INTC,D,51.59,48.82,47.70,49.56,43.59,44.42,37.41,36.31,31.92,25.77,28.43,30.07,26.43,26.43,-48.8%,-12.11%,
NASDAQ:CHEK,D,0.67,0.57,0.61,0.39,0.36,0.36,0.31,0.31,0.35,0.29,0.24,3.46,2.20,2.200,-83.6%,-36.42%,
NASDAQ:IMMR,D,5.71,5.17,5.32,5.56,4.67,5.56,5.34,5.65,5.96,5.49,5.34,7.26,7.03,7.030,23.1%,-3.17%,
BABA,D,---,---,---,---,---,96.05,113.68,89.37,95.41,79.99,63.58,87.56,88.09,88.09,---%,0.61%,
NYSEARCA:BSV,D,80.82,80.00,79.50,77.90,77.03,77.54,76.79,77.47,76.29,74.82,74.56,75.50,75.28,75.28,-6.9%,-0.29%,
AMS:VEMT,E,44.56,43.43,41.43,41.18,40.96,40.08,38.90,41.11,40.83,39.50,38.63,39.36,38.06,38.06,-14.6%,-3.30%,
SWX:GHYC,F,84.78,82.27,81.35,81.08,76.59,76.93,71.60,76.44,73.35,71.39,71.77,72.90,72.47,72.47,-14.5%,-0.59%,
SWX:AGGS,F,5.24,5.16,5.07,4.97,4.83,4.81,4.73,4.83,4.70,4.53,4.50,4.56,4.53,4.53,-13.6%,-0.77%,
,,,,,,,,,,,,,,,,,,
EURCHF,,1.037,1.042,1.029,1.021,1.027,1.030,1.001,0.973,0.983,0.968,0.990,0.984,0.992,0.992,-4.4%,0.78%,
EURUSD,,1.137,1.124,1.122,1.107,1.054,1.073,1.048,1.022,1.005,0.980,0.988,1.042,1.073,1.073,-5.7%,2.92%,
USDCHF,,0.912,0.927,0.917,0.922,0.974,0.959,0.955,0.952,0.978,0.987,1.002,0.944,0.925,0.925,1.4%,-2.09%,
,,,,,,,,,,,,,,,,,,
INDEXSWX:ARDOT,,26.79,19.26,17.90,21.60,16.11,10.24,6.78,9.14,7.15,6.35,6.64,5.43,4.32,4.32,-83.9%,-20.4%,
BTCUSD,,45911,38440,43193,45835,37964,31769,18910,23806,20093,19360,20432,17183,16558,16558,-63.9%,-3.6%,
,,,,,,,,,,,,,,,,,,
Simple,,,,,,,,,,,,,,,,,,
Stocks,E,"843,849","832,574","944,974","980,945","969,279","978,256","1,105,906","1,130,493","1,150,401","1,146,080","1,210,406","1,249,603","1,172,401","1,172,401",,,
Bonds,E,"568,258","579,544","462,638","465,263","461,470","458,280","261,182","276,104","271,818","268,157","265,380","268,825","264,512","264,512",,,
Crypto,E,"15,055","13,520","12,704","15,699","12,417","9,831","8,974","12,512","10,044","9,223","9,639","7,542","5,888",5888,,,
Private Equities,E,"1,319","6,135","6,198","6,250","6,293","6,253","6,426","6,607","6,581","6,698","6,567","6,520","6,440","6,440",,,
Business,E,"19,287","18,191","19,380","26,737","30,187","36,818","43,998","48,945","50,205","50,593","48,708","45,019","41,350","41,350",,,
Cash,E,"114,814","102,256","105,254","100,488","104,271","97,871","126,493","185,202","135,241","63,482","74,228","81,362","99,930","99,930",,,
Taxes,E,"-7,737","-8,724","-10,053","-4,625","-5,874","-7,372","-8,119","-8,736","2,570","4,346",-799,"-3,242","5,338","5,338",,,
Other,E,-852,"3,227","4,594","4,963","2,847","5,227","4,646","-3,353","2,851","2,962","2,837","5,695","2,687","2,687",,,
Extras,E,"91,167","101,137","102,667","103,656","103,401","103,341","106,580","109,941","109,124","111,102","108,829","109,804","109,233","109,233",,,
,,,,,,,,,,,,,,,,,,
Cash Flow,,,,,,,,,,,,,,,,,,
GaU - Sole Proprietorship,,,,,,,,,,,,,,,,,,
Finpension Affiliate,F,,"1,468",190,225,357,141,39,29,44,29,84,38,260,"2,903",,,
Amazon Affiliate,E,,34,62,46,24,91,40,39,33,10,82,34,36,532,,,
IB Affiliate,D,,0,200,800,400,600,200,"1,415","1,073",377,323,"2,573","2,115","10,075",,,
Donations,F,,10,19,0,0,5,19,5,10,5,0,0,5,77,,,
"Others (TV,...)",F,,0,0,0,0,0,0,0,0,0,0,0,992,992,,,
Red Thing,F,,"1,352","1,855","1,770","1,492","2,245","1,047",748,259,388,"1,566","1,082","1,404","15,209",,,
Purple Thing,D,,311,441,281,223,413,570,302,96,438,559,458,708,"4,800",,,
GaU costs,F,,0,0,0,0,-364,"-2,140","-1,088",-6,-225,-736,"-1,212","-1,927","-7,698",,,
Self Employment,,,,,,,,,,,,,,,,,,
GaU Total Income,F,,"3,154","2,716","3,039","2,480","3,093",-260,"1,366","1,483","1,011","1,879","2,802","3,379","26,142",,,
Expected Pillar 1,F,,-334,-288,-322,-263,-328,28,-145,-157,-107,-199,-297,-358,"-2,771",,,
Employment,,,,,,,,,,,,,,,,,,
RIP GmbH - Mr Salary,F,,"4,929","4,929","4,949","7,115","7,115","7,115","9,454","11,876","14,216","14,216","13,194","33,590","132,695",,11058,
Financial,,,,,,,,,,,,,,,,,,
Dividends USD,D,,0,295,"3,420",707,75,"6,970",741,156,"6,322",300,347,"7,950","27,282",,2274,
Dividends CHF,F,,0,0,0,930,0,0,0,0,0,971,0,0,"1,901",,158,
Taxes,,,,,,,,,,,,,,,,,,
Expected Income Tax,F,,-775,-763,"-1,082","-1,095",-995,"-1,354","-1,138","-1,335","-2,136","-1,717","-1,603","-4,396","-18,388",,-1532,
Pensions,,,,,,,,,,,,,,,,,,
Pillar 2 - Mr Mand,F,,436,436,436,762,762,762,762,762,762,762,762,762,"8,165",,,
Pillar 2 - Mr Extra,F,,0,0,0,0,0,0,0,0,0,0,"1,938","1,938","3,876",,,
Exp Tax on TDA,F,,-28,-28,-28,-50,-50,-50,-50,-50,-50,-50,-176,-176,-783,,,
,,,,,,,,,,,,,,,,,,
Income,F,,"7,498","7,273","10,185","10,568","9,814","12,897","10,957","25,360","19,995","16,352","17,141","42,787","190,826",,15902,190826
Spending,F,,"7,836","7,519","7,233","8,147","7,772","7,578","10,693","13,268","8,212","9,064","7,246","8,169","102,736",,8561,102736
Saving,F,,-338,-246,"2,952","2,421","2,042","5,319",264,"12,092","11,783","7,288","9,895","34,617","88,089",,7341,88089
%,F,,-4.5%,-3.4%,29.0%,22.9%,20.8%,41.2%,2.4%,47.7%,58.9%,44.6%,57.7%,80.9%,46.2%,,,
,,,,,,,,,,,,,,,,,,
FIRE (IDEAL),,,,,,,,,,,,,,,,,,
Monthly Target Allowance,E,"4,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500",,,
Yearly Target Allowance,E,"48,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000",,,
FU Number,E,"1,600,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000","1,800,000",,,
Desired WR,,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,,,
Progress (FI%),,102.82%,91.55%,91.58%,94.41%,93.57%,93.81%,92.00%,97.65%,96.60%,92.37%,95.88%,98.40%,94.88%,94.88%,,,
,,,,,,,,,,,,,,,,,,
Months Left,,2,7,7,5,6,6,9,2,4,13,7,2,3,3,,,
Fire Date,,2/2022,8/2022,9/2022,8/2022,10/2022,11/2022,3/2023,9/2022,12/2022,10/2023,5/2023,1/2023,3/2023,3/2023,,,
Coast Date,,12/2020,1/2025,2/2025,3/2024,7/2024,7/2024,4/2025,5/2023,11/2023,6/2025,4/2024,6/2023,10/2024,10/2024,,,
,,,,,,,,,,,,,,,,,,
Yearly Current Allowance,E,"49,355","49,436","49,451","50,981","50,529","50,655","49,683","52,731","52,165","49,879","51,774","53,134","51,233","51,233",,,
Monthly Current Allowance,E,"4,113","4,120","4,121","4,248","4,211","4,221","4,140","4,394","4,347","4,157","4,314","4,428","4,269","4,269",,,
Daily Current Allowance,E,135.22,135.44,135.48,139.67,138.43,138.78,136.12,144.47,142.92,136.66,141.85,145.57,140.37,140,,,
,,,,,,,,,,,,,,,,,,
Current WR (Ideal),,2.92%,3.28%,3.28%,3.18%,3.21%,3.20%,3.26%,3.07%,3.11%,3.25%,3.13%,3.05%,3.16%,3.16%,,,
Years Of Expenses (Ideal),,34.3,30.5,30.5,31.5,31.2,31.3,30.7,32.6,32.2,30.8,32.0,32.8,31.6,31.6,,,
,,,,,,,,,,,,,,,,,,
to generate 1 EUR x Year,E,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33,,,
to generate 1 EUR x Month,E,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,
to generate 1 EUR x Day,E,"12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167","12,167",,,
,,,,,,,,,,,,,,,,,,
FIRE (CURRENT),,,,,,,,,,,,,,,,,,
Current Yearly Expenditure,F,"100,283","100,650","101,762","101,905","100,953","99,465","98,498","102,134","106,301","106,412","107,219","105,764","102,736","102,736",,,
FU Number,F,"3,193,728","3,355,009","3,392,066","3,396,844","3,365,091","3,315,509","3,283,257","3,404,471","3,543,359","3,547,066","3,573,971","3,525,471","3,424,541","3,424,541",,,
Desired WR,,3.14%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,3.00%,,,
Progress (FI%),,53.42%,51.16%,49.99%,51.08%,51.38%,52.44%,50.49%,50.23%,48.22%,45.36%,47.82%,49.44%,49.45%,49.45%,,,
,,,,,,,,,,,,,,,,,,
Months Left,,82,84,113,126,121,109,342,175,319,-681,602,268,79,79,,,
Fire Date,,10/2028,1/2029,7/2031,9/2032,5/2032,6/2031,12/2050,2/2037,3/2049,12/1965,12/2072,3/2045,7/2029,7/2029,,,
,,,,,,,,,,,,,,,,,,
Yearly Current Allowance,F,"53,568","51,492","50,869","52,057","51,871","52,164","49,734","51,305","51,261","48,264","51,274","52,286","50,808","50,808",,,
Monthly Current Allowance,F,"4,464","4,291","4,239","4,338","4,323","4,347","4,144","4,275","4,272","4,022","4,273","4,357","4,234","4,234",,,
Daily Current Allowance,F,146.76,141.07,139.37,142.62,142.11,142.91,136.26,140.56,140.44,132.23,140.48,143.25,139.20,139,,,
,,,,,,,,,,,,,,,,,,
Current WR (Real),,5.88%,5.86%,6.00%,5.87%,5.84%,5.72%,5.94%,5.97%,6.22%,6.61%,6.27%,6.07%,6.07%,6.07%,,,
Years Of Expenses (Real),,17.0,17.1,16.7,17.0,17.1,17.5,16.8,16.7,16.1,15.1,15.9,16.5,16.5,16.5,,,
,,,,,,,,,,,,,,,,,,
CONSTANTS,,,,,,,,,,,,,,,,,,
Tax Percent on Income,,,10.00%,,,,,,,,,,,,,,,
Tax Percent on Wealth,,,0.18%,,,,,,,,,,,,,,,
Tax Percent on TDAs,,,6.50%,,,,,,,,,,,,,,,
Pillar 1 Contribution %,,,10.60%,,,,,,,,,,,,,,,
Pillar 2 Contribution,F,,"2,893",,,,,,,,,,,,,,,
Pillar 2 Savings,F,,"2,700",,,,,,,,,,,,,,,
Pillar 2 Mandatory Limit,F,,,,,,,,,,,,,,,,,
Initial RIP GmbH Balance,F,,"20,000",,,,,,,,,,,,,,,
Corporate Tax Rate,,,19.75%,,,,,,,,,,,,,,,
Year,,,2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
month #,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
